City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Dingle,PH,75.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
3,Voh,NC,78.17,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
5,Puerto Ayora,EC,85.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
12,Butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
13,Iaciara,BR,87.58,few clouds,-14.0958,-46.6317,Hotel Matinha
24,Acajutla,SV,85.91,few clouds,13.5928,-89.8275,Laureles
27,Nazareno,MX,84.51,clear sky,25.3833,-103.4167,Palmas Suite
29,Rikitea,PF,76.71,broken clouds,-23.1203,-134.9692,People ThankYou
30,Uthal,PK,76.46,clear sky,25.8072,66.6219,Al-Mustafa Hotel
32,Arcos,BR,74.25,overcast clouds,-20.2819,-45.5394,Victor Plaza Hotel Arcos
35,Gombong,ID,78.1,light rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
36,Karratha,AU,80.78,clear sky,-20.7377,116.8463,ibis Styles Karratha
37,Hilo,US,78.53,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
38,Tuy Hoa,VN,71.15,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
42,Ormara,PK,77.5,clear sky,25.2088,64.6357,Kenara Colony house for Rent
44,Kano,NG,85.89,clear sky,12.0001,8.5167,Royal Tropicana Hotel
47,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Kapaa,US,78.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
51,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
55,Saint-Philippe,RE,74.79,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,Castro,BR,71.73,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
58,Kavieng,PG,80.69,light rain,-2.5744,150.7967,Nusa Island Retreat
