City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bellevue,US,2022-04-03 19:30:25,47.6104,-122.2007,53.78,71,100,18.41,overcast clouds
1,Tasiilaq,GL,2022-04-03 19:34:22,65.6145,-37.6368,30.36,95,95,4.74,overcast clouds
2,Dingle,PH,2022-04-03 19:34:22,10.9995,122.6711,75.43,86,100,6.98,overcast clouds
3,Voh,NC,2022-04-03 19:34:23,-20.9667,164.7,78.17,92,100,4.81,overcast clouds
4,New Norfolk,AU,2022-04-03 19:34:23,-42.7826,147.0587,56.7,89,99,1.03,overcast clouds
5,Puerto Ayora,EC,2022-04-03 19:34:23,-0.7393,-90.3518,85.96,76,45,11.61,light rain
6,Sobolevo,RU,2022-04-03 19:34:24,54.4299,31.8996,26.94,86,100,8.43,overcast clouds
7,Modra,SK,2022-04-03 19:34:24,48.334,17.3071,35.46,48,0,8.05,clear sky
8,Srednekolymsk,RU,2022-04-03 19:34:09,67.45,153.6833,-18.94,100,95,1.5,overcast clouds
9,Salalah,OM,2022-04-03 19:34:25,17.0151,54.0924,80.69,83,0,0.0,clear sky
10,Shimoda,JP,2022-04-03 19:34:25,34.6667,138.95,49.1,91,100,18.07,moderate rain
11,Khatanga,RU,2022-04-03 19:34:25,71.9667,102.5,-29.15,100,99,4.09,overcast clouds
12,Butaritari,KI,2022-04-03 19:34:25,3.0707,172.7902,81.46,72,98,14.5,overcast clouds
13,Iaciara,BR,2022-04-03 19:34:26,-14.0958,-46.6317,87.58,35,15,4.5,few clouds
14,Ahipara,NZ,2022-04-03 19:34:26,-35.1667,173.1667,64.74,86,3,2.24,clear sky
15,Severo-Kurilsk,RU,2022-04-03 19:31:11,50.6789,156.125,30.2,87,23,11.59,few clouds
16,Tuktoyaktuk,CA,2022-04-03 19:34:27,69.4541,-133.0374,-20.2,69,20,2.3,few clouds
17,Lebu,CL,2022-04-03 19:34:27,-37.6167,-73.65,56.89,63,0,18.63,clear sky
18,Vardo,NO,2022-04-03 19:34:27,70.3705,31.1107,26.58,93,75,10.36,light shower snow
19,Kruisfontein,ZA,2022-04-03 19:34:28,-34.0033,24.7314,61.88,84,89,1.66,overcast clouds
20,Katsuura,JP,2022-04-03 19:34:28,35.1333,140.3,54.25,87,100,18.01,moderate rain
21,Dehui,CN,2022-04-03 19:34:28,44.5333,125.7,48.16,36,0,23.98,clear sky
22,Bluff,NZ,2022-04-03 19:34:29,-46.6,168.3333,56.23,75,98,12.28,overcast clouds
23,Punta Arenas,CL,2022-04-03 19:32:51,-53.15,-70.9167,41.11,87,40,23.02,light intensity shower rain
24,Acajutla,SV,2022-04-03 19:33:33,13.5928,-89.8275,85.91,64,19,9.26,few clouds
25,Jamestown,US,2022-04-03 19:31:03,42.097,-79.2353,33.53,75,100,9.22,overcast clouds
26,Qaanaaq,GL,2022-04-03 19:34:29,77.484,-69.3632,14.67,75,92,6.04,overcast clouds
27,Nazareno,MX,2022-04-03 19:34:30,25.3833,-103.4167,84.51,8,1,4.97,clear sky
28,Coquimbo,CL,2022-04-03 19:31:28,-29.9533,-71.3436,62.33,72,0,12.66,clear sky
29,Rikitea,PF,2022-04-03 19:34:30,-23.1203,-134.9692,76.71,66,56,10.27,broken clouds
30,Uthal,PK,2022-04-03 19:34:30,25.8072,66.6219,76.46,65,5,2.93,clear sky
31,Kodiak,US,2022-04-03 19:34:31,57.79,-152.4072,36.91,65,100,11.5,overcast clouds
32,Arcos,BR,2022-04-03 19:34:31,-20.2819,-45.5394,74.25,82,90,4.85,overcast clouds
33,Bethel,US,2022-04-03 19:31:05,41.3712,-73.414,42.89,88,100,0.0,light rain
34,Cape Town,ZA,2022-04-03 19:34:31,-33.9258,18.4232,65.12,80,0,13.8,clear sky
35,Gombong,ID,2022-04-03 19:34:32,-7.6072,109.5142,78.1,89,100,2.26,light rain
36,Karratha,AU,2022-04-03 19:34:32,-20.7377,116.8463,80.78,71,0,10.69,clear sky
37,Hilo,US,2022-04-03 19:34:32,19.7297,-155.09,78.53,76,100,6.91,heavy intensity rain
38,Tuy Hoa,VN,2022-04-03 19:30:55,13.0833,109.3,71.15,91,100,11.9,overcast clouds
39,Luderitz,NA,2022-04-03 19:34:33,-26.6481,15.1594,60.57,87,0,5.82,clear sky
40,Bredasdorp,ZA,2022-04-03 19:34:07,-34.5322,20.0403,61.47,88,56,2.28,broken clouds
41,Busselton,AU,2022-04-03 19:34:33,-33.65,115.3333,62.58,81,51,16.98,broken clouds
42,Ormara,PK,2022-04-03 19:34:34,25.2088,64.6357,77.5,68,2,4.45,clear sky
