City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tyret Pervaya,100,RU,2022-04-03 16:00:44,97,53.6703,102.3106,22.24,2.95
1,Tocopilla,8,CL,2022-04-03 16:00:44,66,-22.092,-70.1979,71.35,7.45
2,Sitka,100,US,2022-04-03 16:00:44,98,57.0531,-135.33,37.87,15.46
3,Chokurdakh,59,RU,2022-04-03 16:00:45,100,70.6333,147.9167,-20.88,2.93
4,Panique,47,PH,2022-04-03 16:00:45,75,12.4797,122.0153,80.28,18.61
5,Busselton,66,AU,2022-04-03 16:00:46,82,-33.65,115.3333,63.09,14.81
6,Luderitz,0,NA,2022-04-03 16:00:46,78,-26.6481,15.1594,64.49,12.15
7,Albany,100,US,2022-04-03 15:57:11,67,42.6001,-73.9662,46.17,1.99
8,Butaritari,59,KI,2022-04-03 16:00:46,72,3.0707,172.7902,81.18,14.32
9,Chuy,100,UY,2022-04-03 16:00:47,66,-33.6971,-53.4616,72.3,11.86
10,Rikitea,44,PF,2022-04-03 16:00:47,64,-23.1203,-134.9692,76.1,9.04
11,Punta Arenas,40,CL,2022-04-03 15:58:08,65,-53.15,-70.9167,44.71,44.87
12,Anadyr,51,RU,2022-04-03 16:00:47,97,64.75,177.4833,-17.77,6.91
13,Lorengau,100,PG,2022-04-03 16:00:48,80,-2.0226,147.2712,79.7,1.86
14,Nikolskoye,80,RU,2022-04-03 16:00:48,90,59.7035,30.7861,33.71,1.81
15,Puerto Ayora,89,EC,2022-04-03 16:00:48,78,-0.7393,-90.3518,81.03,10.6
16,Victoria,0,HK,2022-04-03 15:56:07,69,22.2855,114.1577,66.38,15.99
17,Poso,100,ID,2022-04-03 16:00:49,83,-1.3959,120.7524,78.48,4.63
18,Omsukchan,83,RU,2022-04-03 16:00:50,100,62.5333,155.8,-9.09,2.66
19,Thompson,100,CA,2022-04-03 16:00:50,85,55.7435,-97.8558,28.54,7.09
20,Russell,0,US,2022-04-03 16:00:50,43,32.3502,-85.1999,70.05,7.0
21,Fort Nelson,100,CA,2022-04-03 16:00:51,93,58.8053,-122.7002,20.68,1.92
22,Comodoro Rivadavia,0,AR,2022-04-03 15:56:53,29,-45.8667,-67.5,58.86,19.57
23,Atambua,71,ID,2022-04-03 16:00:51,88,-9.1061,124.8925,71.78,3.4
24,Tasiilaq,100,GL,2022-04-03 16:00:51,86,65.6145,-37.6368,24.58,2.77
25,Ushuaia,42,AR,2022-04-03 16:00:52,69,-54.8,-68.3,42.62,9.08
26,Bredasdorp,62,ZA,2022-04-03 16:00:52,74,-34.5322,20.0403,65.55,9.86
27,Khorramabad,98,IR,2022-04-03 16:00:52,28,33.4878,48.3558,70.77,2.86
28,Povolzhskiy,41,RU,2022-04-03 16:00:53,79,53.5854,49.7629,44.22,15.93
29,Ilulissat,75,GL,2022-04-03 16:00:53,69,69.2167,-51.1,30.22,4.61
30,Cape Town,40,ZA,2022-04-03 15:56:37,68,-33.9258,18.4232,73.11,12.66
31,Mataura,57,NZ,2022-04-03 16:00:54,98,-46.1927,168.8643,44.96,1.61
32,Pevek,17,RU,2022-04-03 16:00:54,95,69.7008,170.3133,-20.29,2.82
33,Barrow,100,US,2022-04-03 16:00:54,71,71.2906,-156.7887,-5.78,14.97
34,Kapaa,45,US,2022-04-03 16:00:05,87,22.0752,-159.319,72.19,5.99
35,Barreirinhas,67,BR,2022-04-03 16:00:38,56,-2.7469,-42.8264,88.97,7.61
36,Longyan,0,CN,2022-04-03 16:00:55,74,25.1072,117.0225,50.67,2.86
37,Kibaya,57,TZ,2022-04-03 16:00:56,64,-5.3,36.5667,67.86,6.17
38,Verkhnyaya Inta,100,RU,2022-04-03 16:00:56,72,65.9811,60.3094,22.64,19.51
39,Ponta Do Sol,100,PT,2022-04-03 16:00:56,86,32.6667,-17.1,61.0,10.92
40,Husavik,100,IS,2022-04-03 16:00:57,97,66.0449,-17.3389,32.85,12.8
41,Laurel,75,US,2022-04-03 16:00:09,47,39.0993,-76.8483,59.74,17.27
42,Yulara,0,AU,2022-04-03 16:00:57,26,-25.2406,130.9889,66.36,5.82
43,Cedar Rapids,55,US,2022-04-03 15:56:57,65,42.0083,-91.6441,45.55,4.0
44,Tarsus,99,TR,2022-04-03 16:01:58,80,36.9188,34.8784,70.18,3.56
45,East London,0,ZA,2022-04-03 15:59:21,78,-33.0153,27.9116,76.14,14.97
46,Mar Del Plata,0,AR,2022-04-03 15:59:11,64,-38.0023,-57.5575,72.88,21.0
47,Arlit,3,NE,2022-04-03 16:01:59,3,18.7369,7.3853,106.38,1.88
48,Bengkulu,50,ID,2022-04-03 16:01:59,81,-3.8004,102.2655,77.23,4.68
49,Hobart,100,AU,2022-04-03 16:01:59,93,-42.8794,147.3294,57.06,4.61
50,Qaanaaq,96,GL,2022-04-03 16:02:00,74,77.484,-69.3632,14.9,6.44
